3.150,2.630,3.270,3.020
2.630,1.690,3.020,2.690
1.690,0.630,2.690,1.470
0.630,0.490,1.470,0.470
0.490,-0.850,0.470,-0.700
-0.850,-1.030,-0.700,-0.430
-0.180,0.000,-0.230,0.000
0.000,0.040,0.000,0.100
0.040,0.060,0.100,0.120
0.060,0.070,0.120,0.070
0.070,-0.020,0.070,-0.090
-0.020,0.170,-0.090,0.130
0.170,0.190,0.130,-0.020
0.190,-0.310,-0.020,0.130
-0.310,-0.210,0.130,-0.510
-0.210,-0.040,-0.510,0.890
-0.040,0.490,0.890,1.320
0.490,1.530,1.320,2.900
1.530,2.660,2.900,4.030
2.660,3.350,4.030,3.590
3.350,3.270,3.590,3.350
3.270,3.020,3.350,3.300
3.020,2.690,3.300,3.280
2.690,1.470,3.280,1.850
1.470,0.470,1.850,0.140
0.470,-0.700,0.140,-0.040
-0.700,-0.430,-0.040,-0.700
-0.050,-0.210,0.010,-0.210
-0.210,-0.230,-0.210,-0.280
-0.230,0.000,-0.280,-0.010
0.000,0.100,-0.010,0.170
0.100,0.120,0.170,0.170
0.120,0.070,0.170,-0.010
0.070,-0.090,-0.010,-0.170
-0.090,0.130,-0.170,-0.060
0.130,-0.020,-0.060,0.110
-0.020,0.130,0.110,0.070
0.130,-0.510,0.070,0.000
-0.510,0.890,0.000,1.760
0.890,1.320,1.760,2.810
1.320,2.900,2.810,4.420
2.900,4.030,4.420,4.100
4.030,3.590,4.100,3.790
3.590,3.350,3.790,3.480
3.350,3.300,3.480,3.370
3.300,3.280,3.370,3.370
3.280,1.850,3.370,2.450
1.850,0.140,2.450,0.130
0.140,-0.040,0.130,0.020
-0.040,-0.700,0.020,-0.260
-0.700,-1.080,-0.260,0.150
0.000,0.010,0.010,0.050
0.010,-0.210,0.050,-0.170
-0.210,-0.280,-0.170,-0.270
-0.280,-0.010,-0.270,0.000
-0.010,0.170,0.000,0.220
0.170,0.170,0.220,0.090
0.170,-0.010,0.090,-0.070
-0.010,-0.170,-0.070,-0.370
-0.170,-0.060,-0.370,-0.220
-0.060,0.110,-0.220,0.290
0.110,0.070,0.290,0.000
0.070,0.000,0.000,-0.050
0.000,1.760,-0.050,-0.030
1.760,2.810,-0.030,2.990
2.810,4.420,2.990,4.370
4.420,4.100,4.370,4.170
4.100,3.790,4.170,3.790
3.790,3.480,3.790,3.570
3.480,3.370,3.570,3.450
3.370,3.370,3.450,3.470
3.370,2.450,3.470,2.870
2.450,0.130,2.870,0.000
0.130,0.020,0.000,0.130
0.020,-0.260,0.130,1.210
-0.260,0.150,1.210,-0.460
0.010,0.050,0.010,0.000
0.050,-0.170,0.000,-0.100
-0.170,-0.270,-0.100,-0.230
-0.270,0.000,-0.230,-0.270
0.000,0.220,-0.270,0.000
0.220,0.090,0.000,-0.010
0.090,-0.070,-0.010,-0.310
-0.070,-0.370,-0.310,-0.600
-0.370,-0.220,-0.600,0.020
-0.220,0.290,0.020,-0.180
0.290,0.000,-0.180,-0.280
-0.030,2.990,-0.120,0.050
