計數,名稱,SS-ZZ,位置 X,位置 Y
1,GPCADFGD,-1.59,175453.295,2537070.496
1,GPCADFGD,0.09,175453.295,2537060.496
1,GPCADFGD,3.25,175443.295,2537310.496
1,GPCADFGD,3.40,175443.295,2537280.496
1,GPCADFGD,3.37,175443.295,2537270.496
1,GPCADFGD,3.49,175443.295,2537300.496
1,GPCADFGD,3.44,175443.295,2537290.496
1,GPCADFGD,2.10,175433.295,2537320.496
1,GPCADFGD,3.29,175433.295,2537310.496
1,GPCADFGD,0.03,175443.295,2537060.496
1,GPCADFGD,-2.74,175433.295,2537330.496
1,GPCADFGD,3.55,175433.295,2537300.496
1,GPCADFGD,3.35,175433.295,2537270.496
1,GPCADFGD,1.85,175433.295,2537260.496
1,GPCADFGD,3.51,175433.295,2537290.496
1,GPCADFGD,3.44,175433.295,2537280.496
1,GPCADFGD,-0.56,175443.295,2537070.496
1,GPCADFGD,4.31,175443.295,2537140.496
1,GPCADFGD,3.60,175443.295,2537130.496
1,GPCADFGD,3.69,175443.295,2537160.496
1,GPCADFGD,4.03,175443.295,2537150.496
1,GPCADFGD,2.21,175443.295,2537120.496
1,GPCADFGD,1.84,175443.295,2537090.496
1,GPCADFGD,0.74,175443.295,2537080.496
1,GPCADFGD,2.23,175443.295,2537110.496
1,GPCADFGD,2.22,175443.295,2537100.496
1,GPCADFGD,1.61,175513.295,2537070.496
1,GPCADFGD,1.60,175513.295,2537060.496
1,GPCADFGD,1.99,175513.295,2537090.496
1,GPCADFGD,1.86,175513.295,2537080.496
1,GPCADFGD,1.72,175513.295,2537050.496
1,GPCADFGD,2.09,175513.295,2537020.496
1,GPCADFGD,2.14,175513.295,2537010.496
1,GPCADFGD,1.88,175513.295,2537040.496
1,GPCADFGD,1.98,175513.295,2537030.496
1,GPCADFGD,2.05,175513.295,2537100.496
1,GPCADFGD,3.08,175513.295,2537170.496
1,GPCADFGD,4.07,175513.295,2537160.496
1,GPCADFGD,3.35,175513.295,2537190.496
1,GPCADFGD,2.73,175513.295,2537180.496
1,GPCADFGD,4.78,175513.295,2537150.496
1,GPCADFGD,4.67,175513.295,2537120.496
1,GPCADFGD,3.35,175513.295,2537110.496
1,GPCADFGD,4.84,175513.295,2537140.496
1,GPCADFGD,4.51,175513.295,2537130.496
1,GPCADFGD,3.99,175503.295,2537200.496
1,GPCADFGD,4.54,175503.295,2537190.496
1,GPCADFGD,0.68,175503.295,2537220.496
1,GPCADFGD,0.13,175503.295,2537210.496
1,GPCADFGD,3.89,175503.295,2537180.496
1,GPCADFGD,4.64,175503.295,2537150.496
1,GPCADFGD,4.77,175503.295,2537140.496
1,GPCADFGD,3.98,175503.295,2537170.496
1,GPCADFGD,4.43,175503.295,2537160.496
1,GPCADFGD,1.92,175503.295,2537230.496
1,GPCADFGD,2.48,175503.295,2537300.496
1,GPCADFGD,3.35,175503.295,2537290.496
1,GPCADFGD,4.06,175513.295,2537000.496
1,GPCADFGD,-0.17,175503.295,2537310.496
1,GPCADFGD,3.28,175503.295,2537280.496
1,GPCADFGD,2.90,175503.295,2537250.496
1,GPCADFGD,3.05,175503.295,2537240.496
1,GPCADFGD,3.10,175503.295,2537270.496
1,GPCADFGD,2.96,175503.295,2537260.496
1,GPCADFGD,4.93,175523.295,2537130.496
1,GPCADFGD,4.76,175523.295,2537120.496
1,GPCADFGD,4.12,175523.295,2537150.496
1,GPCADFGD,4.56,175523.295,2537140.496
1,GPCADFGD,3.21,175523.295,2537110.496
1,GPCADFGD,1.94,175523.295,2537080.496
1,GPCADFGD,1.62,175523.295,2537070.496
1,GPCADFGD,2.17,175523.295,2537100.496
1,GPCADFGD,2.07,175523.295,2537090.496
1,GPCADFGD,3.65,175523.295,2537160.496
1,GPCADFGD,2.84,175523.295,2537230.496
1,GPCADFGD,2.23,175523.295,2537220.496
1,GPCADFGD,2.98,175523.295,2537250.496
1,GPCADFGD,2.91,175523.295,2537240.496
1,GPCADFGD,0.85,175523.295,2537210.496
1,GPCADFGD,1.30,175523.295,2537180.496
1,GPCADFGD,2.39,175523.295,2537170.496
1,GPCADFGD,-0.08,175523.295,2537200.496
1,GPCADFGD,0.44,175523.295,2537190.496
1,GPCADFGD,3.02,175513.295,2537260.496
1,GPCADFGD,2.93,175513.295,2537250.496
1,GPCADFGD,3.34,175513.295,2537280.496
1,GPCADFGD,3.19,175513.295,2537270.496
1,GPCADFGD,2.93,175513.295,2537240.496
1,GPCADFGD,0.18,175513.295,2537210.496
1,GPCADFGD,1.37,175513.295,2537200.496
1,GPCADFGD,2.41,175513.295,2537230.496
1,GPCADFGD,1.50,175513.295,2537220.496
1,GPCADFGD,3.32,175513.295,2537290.496
1,GPCADFGD,1.79,175523.295,2537040.496
1,GPCADFGD,1.82,175523.295,2537030.496
1,GPCADFGD,1.53,175523.295,2537060.496
1,GPCADFGD,1.64,175523.295,2537050.496
1,GPCADFGD,1.83,175523.295,2537020.496
1,GPCADFGD,-1.36,175513.295,2537310.496
1,GPCADFGD,2.26,175513.295,2537300.496
1,GPCADFGD,2.21,175523.295,2537010.496
