計數,名稱,SS-ZZ,位置 X,位置 Y
1,GPCADFGD,0.87,175280.774,2537348.690
1,GPCADFGD,1.49,175290.774,2537228.690
1,GPCADFGD,1.29,175290.774,2537218.690
1,GPCADFGD,2.95,175280.774,2537218.690
1,GPCADFGD,-0.43,175290.774,2537298.690
1,GPCADFGD,0.15,175300.774,2537278.690
1,GPCADFGD,-0.46,175300.774,2537268.690
1,GPCADFGD,1.30,175300.774,2537258.690
1,GPCADFGD,-1.08,175300.774,2537288.690
1,GPCADFGD,-0.70,175290.774,2537288.690
1,GPCADFGD,-1.08,175300.774,2537288.690
1,GPCADFGD,1.12,175300.774,2537248.690
1,GPCADFGD,-0.18,175280.774,2537318.690
1,GPCADFGD,-0.04,175290.774,2537318.690
1,GPCADFGD,-1.03,175290.774,2537308.690
1,GPCADFGD,1.76,175290.774,2537238.690
1,GPCADFGD,0.03,175300.774,2537238.690
1,GPCADFGD,-0.04,175290.774,2537318.690
1,GPCADFGD,-1.18,175270.774,2537348.690
1,GPCADFGD,2.37,175270.774,2537378.690
1,GPCADFGD,1.45,175270.774,2537368.690
1,GPCADFGD,0.08,175270.774,2537358.690
1,GPCADFGD,3.34,175280.774,2537208.690
1,GPCADFGD,2.37,175270.774,2537378.690
1,GPCADFGD,-0.50,175260.774,2537378.690
1,GPCADFGD,-1.18,175270.774,2537348.690
1,GPCADFGD,0.49,175270.774,2537308.690
1,GPCADFGD,0.47,175270.774,2537298.690
1,GPCADFGD,0.14,175270.774,2537288.690
1,GPCADFGD,-0.51,175270.774,2537338.690
1,GPCADFGD,-0.81,175270.774,2537328.690
1,GPCADFGD,-0.74,175270.774,2537318.690
1,GPCADFGD,2.95,175280.774,2537218.690
1,GPCADFGD,-0.18,175280.774,2537318.690
1,GPCADFGD,-0.85,175280.774,2537308.690
1,GPCADFGD,-0.70,175280.774,2537298.690
1,GPCADFGD,0.87,175280.774,2537348.690
1,GPCADFGD,-0.98,175280.774,2537338.690
1,GPCADFGD,-1.07,175280.774,2537328.690
1,GPCADFGD,-0.04,175280.774,2537288.690
1,GPCADFGD,3.16,175280.774,2537248.690
1,GPCADFGD,2.90,175280.774,2537238.690
1,GPCADFGD,2.62,175280.774,2537228.690
1,GPCADFGD,0.02,175280.774,2537278.690
1,GPCADFGD,0.13,175280.774,2537268.690
1,GPCADFGD,1.83,175280.774,2537258.690
1,GPCADFGD,3.96,175250.774,2537238.690
1,GPCADFGD,3.13,175220.774,2537308.690
1,GPCADFGD,3.35,175220.774,2537298.690
1,GPCADFGD,3.59,175220.774,2537288.690
1,GPCADFGD,2.12,175220.774,2537338.690
1,GPCADFGD,2.37,175220.774,2537328.690
1,GPCADFGD,2.97,175220.774,2537318.690
1,GPCADFGD,3.79,175220.774,2537278.690
1,GPCADFGD,-0.05,175220.774,2537238.690
1,GPCADFGD,0.15,175210.774,2537238.690
1,GPCADFGD,0.06,175210.774,2537228.690
1,GPCADFGD,3.79,175220.774,2537268.690
1,GPCADFGD,4.02,175220.774,2537258.690
1,GPCADFGD,2.77,175220.774,2537248.690
1,GPCADFGD,2.56,175220.774,2537348.690
1,GPCADFGD,0.00,175210.774,2537438.690
1,GPCADFGD,0.00,175220.774,2537438.690
1,GPCADFGD,0.28,175220.774,2537428.690
1,GPCADFGD,-0.08,175230.774,2537238.690
1,GPCADFGD,0.00,175220.774,2537438.690
1,GPCADFGD,0.00,175210.774,2537438.690
1,GPCADFGD,0.32,175220.774,2537418.690
1,GPCADFGD,-0.05,175220.774,2537378.690
1,GPCADFGD,0.68,175220.774,2537368.690
1,GPCADFGD,1.66,175220.774,2537358.690
1,GPCADFGD,0.23,175220.774,2537408.690
1,GPCADFGD,0.00,175220.774,2537398.690
1,GPCADFGD,-0.13,175220.774,2537388.690
1,GPCADFGD,-0.02,175220.774,2537228.690
1,GPCADFGD,2.66,175210.774,2537298.690
1,GPCADFGD,4.03,175210.774,2537288.690
1,GPCADFGD,4.10,175210.774,2537278.690
1,GPCADFGD,2.14,175210.774,2537328.690
1,GPCADFGD,2.14,175210.774,2537318.690
1,GPCADFGD,2.28,175210.774,2537308.690
1,GPCADFGD,4.17,175210.774,2537268.690
1,GPCADFGD,0.24,175200.774,2537238.690
1,GPCADFGD,0.15,175210.774,2537238.690
1,GPCADFGD,-0.33,175200.774,2537408.690
1,GPCADFGD,4.37,175210.774,2537258.690
1,GPCADFGD,4.43,175210.774,2537248.690
1,GPCADFGD,-0.28,175200.774,2537248.690
1,GPCADFGD,1.64,175210.774,2537338.690
1,GPCADFGD,0.00,175210.774,2537428.690
1,GPCADFGD,-0.03,175200.774,2537418.690
1,GPCADFGD,0.11,175210.774,2537418.690
1,GPCADFGD,0.00,175210.774,2537428.690
1,GPCADFGD,-0.02,175200.774,2537428.690
1,GPCADFGD,-0.02,175200.774,2537428.690
1,GPCADFGD,0.14,175210.774,2537408.690
1,GPCADFGD,0.29,175210.774,2537368.690
1,GPCADFGD,1.24,175210.774,2537358.690
1,GPCADFGD,1.58,175210.774,2537348.690
1,GPCADFGD,0.08,175210.774,2537398.690
1,GPCADFGD,-0.02,175210.774,2537388.690
1,GPCADFGD,0.08,175210.774,2537378.690
1,GPCADFGD,2.56,175240.774,2537328.690
1,GPCADFGD,2.42,175240.774,2537318.690
1,GPCADFGD,2.63,175240.774,2537308.690
